mRNA/gene pair,Ensembl IDs,Caov3,COV362,TYK-nu,OVCAR-4,SNU-119,FU-OV-1,IGROV-1,HEY A8,JHOS-2,NIHOVCAR3,OV56 ,OVSAHO,RMUG-S,OV-90,A2780,KURAMOCHI,OVCAR-8
SLC12A2,ENSG00000064651,1910.55,1356.24,1770.43,3238.07,1577.98,1035.8,1584.85,552.014,3511.08,4929.63,979.659,844.364,1353.96,4579.62,2304.27,890.474,198.499
KDM1A,ENSG00000004487,3431.11,3604.56,4082.88,2743.72,8339.77,4262.11,3270.2,2494.56,2541.17,4896.79,2033.22,2026.41,1933.32,2501.96,5403.95,6787.67,1835.44
SRP14,ENSG00000140319,1722.88,1911.58,3556.68,799.08,2211.99,1013.02,1985.44,1105.23,800.601,680.314,621.997,367.746,1775.54,598.372,3699.62,2078.28,937.948
SLC15A4,ENSG00000139370,734.91,183.679,539.212,107.9,492.07,477.759,495.788,306.535,738.288,685.644,572.059,97.0091,189.351,287.669,198.287,339.022,188.189
SOGA1,ENSG00000149639,257.114,1336.02,480.452,820.443,802.807,355.285,546.669,881.87,1632,2642.17,452.163,514.201,2109.6,627.07,904.75,227.075,1455.72
NUP133,ENSG00000069248,4454.85,3857.38,5230.13,2784.72,6222.2,3653.81,8193.9,3206.61,2482.2,2983.19,2570.02,3700.43,2688.22,1628.91,5637.26,5002.64,1998.07
IRS2,ENSG00000185950,438.105,718.763,317.848,58.9013,683.466,609.273,346.474,1301.13,722.192,437.65,1606.06,133.603,314.714,386.438,245.271,122.158,1013.44
RPL4,ENSG00000174444,14434.4,12445.7,24334.3,10479.4,11452,6664.65,12772.6,8117.17,3422.74,2213.21,3560.26,2516.43,4190.1,5414.01,15971.8,4894.47,3184.1
KHSRP,ENSG00000088247,10996.9,7693.81,9579.94,12625.7,11663.3,13787.8,17686.5,15145.4,6591.62,6985.91,3827.87,6636.73,5946.49,8193.47,23586.2,16305.1,21822.8
FUBP3,ENSG00000107164,4895.82,4774.9,3956.68,2314.93,3101.18,5195.16,6219.14,7651.39,4100.05,5106.12,1928.62,2204.66,3513.29,5656.97,7954.55,5190.41,5892.4
MMP14,ENSG00000157227,1514.74,304.337,5082.59,350.693,467.63,257.674,1794.94,2891.48,719.022,217.04,836.524,253.35,705.27,1458.32,68.5091,895.793,1340.87
CLPX,ENSG00000166855,4478.25,2640.4,2804.34,3325.37,3269.63,2695.45,3061.72,2285.38,1089.07,3096.4,974.291,2532.97,2300.4,3719.97,4072.49,2581.73,2610.42
CACTIN,ENSG00000105298,484.431,460.466,881.119,567.32,1693.47,1053.7,1186.6,665.597,661.005,1057.31,650.224,398.329,953.37,538.988,1351.09,1434.19,230.956
NCL,ENSG00000115053,24586.2,31903.9,37235,19404,21398.7,31483.5,43783.7,14566.8,8887.74,11136,9122.22,6694.82,12350.9,16769,30527.5,30853.9,14890.1
UNC119,ENSG00000109103,72.4339,53.0678,188.025,174.235,179.781,568.603,227.702,201.486,44.7254,102.348,125.629,170.035,66.2829,186.254,774.027,106.738,363.452
RBM42,ENSG00000126254,1480.42,899.1,1345.61,1199.67,1522.56,1490.08,1257.37,2025.35,657.577,957.809,1109.28,495.315,872.834,629.258,1872.8,759.692,1226.81
RCC2,ENSG00000179051,5605.84,3809.36,6129.47,4865.78,4095.89,2485.97,4734.91,2518.76,2745.85,3970.72,4244,848.833,3311.5,3334.21,8496.29,2868.48,1972.47
RANBP6,ENSG00000137040,1200.32,275.883,1370.61,693.106,2058.75,578.366,785.261,1613.47,1267.53,1233.29,611.677,704.104,1810.95,337.709,840.308,1274.2,63.4137
IPO5,ENSG00000065150,6648.41,4425.22,14313.7,4137.83,3523.18,3554.89,2350.44,11493.1,12472.4,3258.71,3014.77,1086.02,8375.54,9052.78,8180.78,1064.14,8542.97
SORT1,ENSG00000134243,3807.64,414.727,758.673,992.945,11390.5,2108.05,745.813,376.907,1421.92,1855.01,387.8,2199.14,4115.65,1787.87,626.189,2891.66,1509.14
LEMD3,ENSG00000174106,1327.39,1733.03,2348.4,2567.7,2551.37,3943.89,4941.47,2520.25,2360.76,4045.15,975.284,1603.89,2243.23,4173.43,3510.52,2268.96,753.441
GLRX5,ENSG00000182512,2141.27,1562.74,982.071,199.722,1043.63,2232.72,3285.87,625.8,243.785,292.383,145.919,1202.19,688.242,337.086,201.431,464.391,954.009
RIN1,ENSG00000174791,246.82,609.231,634.929,33.7833,864.924,8.26931,701.852,971.639,902.328,78.755,956.308,8.95895,530.422,41.8789,1554.03,76.1956,177.964
PRDX5,ENSG00000126432,7473.43,11833.3,6175.14,6027.54,2679.67,6012.48,7779.84,4834.77,3599.27,4376.61,1572.29,4997.1,4261.83,3858.34,4857.12,3300.4,5921.1
NCOA2,ENSG00000140396,1471.3,768.843,750.13,528.512,1439.3,469.847,2507.99,2247.94,3555.25,4682.18,572.482,297.076,1405.59,588.416,2496.37,3573.37,2147.92
NCOA3,ENSG00000154553,239.616,635.042,111.41,619.584,812.642,143.929,2443.79,2619.32,935.507,1713.17,1428.13,269.222,1446.14,345.271,627.024,910.934,2627.63
PDLIM3,ENSG00000183495,59.6898,138.413,95.4488,43.2005,76.0695,246.186,8.64124,384.079,642.331,190.453,536.26,44.2269,536.81,149.935,301.937,112.686,2271.64
EP400,ENSG00000116062,2274.72,1078.7,1265.87,1036.15,6700.4,1351.97,2009.22,1923.27,2424.19,3695.63,1037.2,1367,1896.68,2349,2776.25,3507.57,1320.8
MSH6,ENSG00000113318,7833.5,6138.08,5528.38,5158,13714.6,3374.29,627.086,6936.61,4626.73,5636.51,2782.16,1711.82,4616.72,2752.65,5406.92,4139.15,2669.15
MSH3,ENSG00000160803,2258.92,591.704,2556.02,1061.57,3442.44,2349.65,518.026,1372.88,1740.91,1901.32,1633.4,951.409,2109.42,2346.07,1636.74,1237.05,337.642
UBQLN4,ENSG00000135018,1120.64,797.606,1903.81,648.859,1805.07,1621.24,1299.35,1122.5,1177.1,1941.83,474.919,1355.58,713.358,923.626,3613.11,1169.27,1544.57
UBQLN1,ENSG00000174705,1131.15,1021.21,1774.35,227.003,627.642,1758.28,1010.13,2547.29,1160.34,1013.53,323.887,498.88,454.782,1931.58,1211.62,191.457,1279.42
SH3PXD2B,ENSG00000107957,2260.79,1147.97,1936.78,958.938,1659.22,899.027,679.472,1280.25,339.029,672.649,784.036,200.501,566.467,1741.37,5540.47,1063.74,2555.43
SH3PXD2A,ENSG00000165832,829.001,699.241,1229.65,196.636,421.185,255.195,216.745,1441.45,70.9508,40.6272,414.376,22.8371,154.189,189.566,850.609,152.833,1561.38
TRUB1,ENSG00000135596,1094.51,512.224,1290.3,1024.12,670.447,914.25,1244.54,1900.75,798.107,1268.85,1240.57,741.482,958.025,886.588,2933.52,902.432,1118.04
MICAL1,ENSG00000133816,465.721,52.9867,977.053,57.0622,202.822,305.417,785.674,1260.55,234.159,116.645,711.385,82.5235,587.198,386.146,216.64,154.938,402.644
MICAL2,ENSG00000162300,625.186,106.419,178.409,344.801,1260.56,294.636,1166.52,926.388,2331.12,1898.02,1173.11,166.376,778.266,1186.42,198.406,415.642,57.8238
ZFPL1,ENSG00000038358,1450.79,1805.14,956.032,2354.49,2971.25,715.344,873.272,536.928,1289.22,1352.59,526.865,595.937,2356.84,1575.57,360.698,1037.97,567.267
EDC4,ENSG00000102316,2249.06,2101.93,6076,2020.33,2457.5,3440.12,3845.57,2186.26,3813.54,3954.45,2417.59,1541.2,3508.83,4706,3966.92,2012.66,2817.46
MAGED2,ENSG00000179222,3455.65,3551.7,3649.16,1793.27,5068.41,2363.07,2395.83,2720.79,1432.37,894.458,930.888,1086.17,1649.44,1832.5,4254.44,2201.63,1069.36
MAGED1,ENSG00000101132,903.615,172.9,870.697,93.8912,2103.18,326.788,614.48,147.095,1504.66,621.568,195.43,25.3309,510.688,685.163,1127.19,968.867,289.932
PFDN4,ENSG00000111802,706.716,472.16,1575.78,168.608,590.604,411.601,603.65,1023.64,183.143,79.9733,260.365,134.77,228.03,410.825,574.65,23.993,1016.43
TDP2,ENSG00000165458,907.726,904.693,498.027,263.829,465.32,84.6271,395.385,601.061,264.488,231.886,333.716,168.56,358.801,366.304,1248.56,162.543,814.915
INPPL1,ENSG00000168918,3504.54,2283.84,2395.83,1111.42,2176.81,1033.01,1327.71,1971.36,4688.23,1787.43,663.747,422.808,3908.87,2260.52,4538.91,1261.08,1722.65
